<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
[     AI Bot    ] Allocate 6-tuple pattern 012345 , size = 16777216 (64MB)
[     AI Bot    ] Allocate 6-tuple pattern 456789 , size = 16777216 (64MB)
1000	mean = 4148.86	max = 14824
	32	100%	(0.3%)
	64	99.7%	(3.9%)
	128	95.8%	(23.8%)
	256	72%	(38.3%)
	512	33.7%	(29.8%)
	1024	3.9%	(3.9%)
2000	mean = 7901.72	max = 22488
	64	100%	(0.5%)
	128	99.5%	(4.8%)
	256	94.7%	(18.7%)
	512	76%	(53.5%)
	1024	22.5%	(22.4%)
	2048	0.1%	(0.1%)
3000	mean = 9609.62	max = 31312
	128	100%	(3.1%)
	256	96.9%	(15.4%)
	512	81.5%	(43.5%)
	1024	38%	(37%)
	2048	1%	(1%)
4000	mean = 11229.9	max = 32984
	64	100%	(0.3%)
	128	99.7%	(2.1%)
	256	97.6%	(11.5%)
	512	86.1%	(35.6%)
	1024	50.5%	(45.9%)
	2048	4.6%	(4.6%)
5000	mean = 13067.9	max = 34228
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(6.5%)
	512	92.5%	(31.2%)
	1024	61.3%	(55.1%)
	2048	6.2%	(6.2%)
6000	mean = 13832.8	max = 36048
	32	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(6.7%)
	512	92.1%	(28.3%)
	1024	63.8%	(54.8%)
	2048	9%	(9%)
7000	mean = 14349.8	max = 37600
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(5.5%)
	512	93.9%	(28.6%)
	1024	65.3%	(55.3%)
	2048	10%	(10%)
8000	mean = 14799.8	max = 38464
	64	100%	(0.2%)
	128	99.8%	(1%)
	256	98.8%	(5.7%)
	512	93.1%	(24.1%)
	1024	69%	(57.1%)
	2048	11.9%	(11.9%)
9000	mean = 15462.2	max = 39684
	128	100%	(0.5%)
	256	99.5%	(5.1%)
	512	94.4%	(23.8%)
	1024	70.6%	(55.3%)
	2048	15.3%	(15.3%)
10000	mean = 16280.3	max = 40664
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.8%)
	512	95.4%	(21.6%)
	1024	73.8%	(55.1%)
	2048	18.7%	(18.7%)
11000	mean = 16354.6	max = 59748
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.1%)
	512	95%	(21.2%)
	1024	73.8%	(55.8%)
	2048	18%	(17.7%)
	4096	0.3%	(0.3%)
12000	mean = 17165.7	max = 49504
	128	100%	(0.6%)
	256	99.4%	(3%)
	512	96.4%	(18.2%)
	1024	78.2%	(55.6%)
	2048	22.6%	(22.5%)
	4096	0.1%	(0.1%)
13000	mean = 17320.1	max = 49976
	128	100%	(0.3%)
	256	99.7%	(3.3%)
	512	96.4%	(19.3%)
	1024	77.1%	(53.7%)
	2048	23.4%	(23.2%)
	4096	0.2%	(0.2%)
14000	mean = 18396.8	max = 53428
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(3.7%)
	512	95.9%	(16.8%)
	1024	79.1%	(49.6%)
	2048	29.5%	(29.1%)
	4096	0.4%	(0.4%)
15000	mean = 18895	max = 53180
	128	100%	(0.2%)
	256	99.8%	(2.3%)
	512	97.5%	(17%)
	1024	80.5%	(48.9%)
	2048	31.6%	(31.3%)
	4096	0.3%	(0.3%)
16000	mean = 18920	max = 61920
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3.1%)
	512	96%	(16.5%)
	1024	79.5%	(46.6%)
	2048	32.9%	(32.2%)
	4096	0.7%	(0.7%)
17000	mean = 19717.7	max = 54940
	128	100%	(0.2%)
	256	99.8%	(2.1%)
	512	97.7%	(16.1%)
	1024	81.6%	(45.9%)
	2048	35.7%	(34.7%)
	4096	1%	(1%)
18000	mean = 19874.6	max = 55688
	128	100%	(0.2%)
	256	99.8%	(2.7%)
	512	97.1%	(13.8%)
	1024	83.3%	(48.1%)
	2048	35.2%	(34.4%)
	4096	0.8%	(0.8%)
19000	mean = 20031.4	max = 57352
	128	100%	(0.1%)
	256	99.9%	(1.7%)
	512	98.2%	(13.4%)
	1024	84.8%	(49.7%)
	2048	35.1%	(34.6%)
	4096	0.5%	(0.5%)
20000	mean = 21168.8	max = 62444
	64	100%	(0.1%)
	256	99.9%	(1.6%)
