<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
[     AI Bot    ] Allocate 6-tuple pattern 012456 , size = 16777216 (64MB)
[     AI Bot    ] Allocate 6-tuple pattern 45689a , size = 16777216 (64MB)
1000	mean = 2694.86	max = 9584
	32	100%	(0.4%)
	64	99.6%	(5.7%)
	128	93.9%	(33.8%)
	256	60.1%	(50.3%)
	512	9.8%	(9.7%)
	1024	0.1%	(0.1%)
2000	mean = 3870.62	max = 12136
	64	100%	(1.4%)
	128	98.6%	(13.4%)
	256	85.2%	(58.5%)
	512	26.7%	(25.9%)
	1024	0.8%	(0.8%)
3000	mean = 4836.11	max = 16120
	64	100%	(0.5%)
	128	99.5%	(6.5%)
	256	93%	(50.1%)
	512	42.9%	(40.1%)
	1024	2.8%	(2.8%)
4000	mean = 5433.89	max = 15956
	64	100%	(0.2%)
	128	99.8%	(3.9%)
	256	95.9%	(43.4%)
	512	52.5%	(47.3%)
	1024	5.2%	(5.2%)
5000	mean = 5798.64	max = 18420
	64	100%	(0.1%)
	128	99.9%	(4.3%)
	256	95.6%	(36.3%)
	512	59.3%	(53.8%)
	1024	5.5%	(5.5%)
6000	mean = 6266.64	max = 24472
	64	100%	(0.1%)
	128	99.9%	(3.4%)
	256	96.5%	(30%)
	512	66.5%	(59.3%)
	1024	7.2%	(7.1%)
	2048	0.1%	(0.1%)
7000	mean = 6728.72	max = 17212
	128	100%	(2.5%)
	256	97.5%	(27.3%)
	512	70.2%	(58.4%)
	1024	11.8%	(11.8%)
8000	mean = 7000.92	max = 17232
	64	100%	(0.3%)
	128	99.7%	(2.8%)
	256	96.9%	(25.1%)
	512	71.8%	(58.2%)
	1024	13.6%	(13.6%)
9000	mean = 7154.66	max = 30988
	64	100%	(0.2%)
	128	99.8%	(3%)
	256	96.8%	(21.6%)
	512	75.2%	(62.1%)
	1024	13.1%	(12.9%)
	2048	0.2%	(0.2%)
10000	mean = 7310.26	max = 18388
	128	100%	(2.5%)
	256	97.5%	(21.4%)
	512	76.1%	(60.7%)
	1024	15.4%	(15.4%)
11000	mean = 7505.56	max = 18448
	64	100%	(0.1%)
	128	99.9%	(3%)
	256	96.9%	(21.5%)
	512	75.4%	(57.2%)
	1024	18.2%	(18.2%)
12000	mean = 7890.42	max = 24976
	128	100%	(2.6%)
	256	97.4%	(20.2%)
	512	77.2%	(54.8%)
	1024	22.4%	(22.3%)
	2048	0.1%	(0.1%)
13000	mean = 7855.23	max = 24576
	64	100%	(0.2%)
	128	99.8%	(2.7%)
	256	97.1%	(21%)
	512	76.1%	(53.4%)
	1024	22.7%	(22.1%)
	2048	0.6%	(0.6%)
14000	mean = 8160.53	max = 32384
	64	100%	(0.1%)
	128	99.9%	(2.5%)
	256	97.4%	(21.2%)
	512	76.2%	(50.5%)
	1024	25.7%	(25.3%)
	2048	0.4%	(0.4%)
15000	mean = 8468.92	max = 35396
	128	100%	(2.4%)
	256	97.6%	(15.9%)
	512	81.7%	(54.4%)
	1024	27.3%	(27%)
	2048	0.3%	(0.3%)
16000	mean = 8447.72	max = 26540
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(2.6%)
	256	97.2%	(16.9%)
	512	80.3%	(50.7%)
	1024	29.6%	(29.2%)
	2048	0.4%	(0.4%)
17000	mean = 8885.23	max = 27276
	128	100%	(2.6%)
	256	97.4%	(15.3%)
	512	82.1%	(50%)
	1024	32.1%	(30.5%)
	2048	1.6%	(1.6%)
18000	mean = 8759.2	max = 25276
	64	100%	(0.2%)
	128	99.8%	(2.4%)
	256	97.4%	(17.7%)
	512	79.7%	(47.1%)
	1024	32.6%	(31.8%)
	2048	0.8%	(0.8%)
19000	mean = 9124.15	max = 27548
	64	100%	(0.1%)
	128	99.9%	(2.2%)
	256	97.7%	(15%)
	512	82.7%	(47.8%)
	1024	34.9%	(33.6%)
	2048	1.3%	(1.3%)
20000	mean = 9314.47	max = 27184
	64	100%	(0.1%)
	128	99.9%	(1.8%)
	256	98.1%	(16.9%)
	512	81.2%	(45.7%)
	1024	35.5%	(33.5%)
	2048	2%	(2%)
21000	mean = 9307.77	max = 27104
	64	100%	(0.1%)
	128	99.9%	(1.6%)
	256	98.3%	(14.7%)
	512	83.6%	(47%)
	1024	36.6%	(35.6%)
	2048	1%	(1%)
22000	mean = 9606.11	max = 31584
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(1.4%)
	256	98.3%	(13.4%)
	512	84.9%	(47.8%)
	1024	37.1%	(35%)
	2048	2.1%	(2.1%)
23000	mean = 9854.38	max = 32740
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(1.8%)
	256	98%	(13.9%)
	512	84.1%	(42.5%)
	1024	41.6%	(39.3%)
	2048	2.3%	(2.3%)
24000	mean = 9882.97	max = 31940
	128	100%	(2.4%)
	256	97.6%	(14.4%)
	512	83.2%	(41.7%)
	1024	41.5%	(39.3%)
	2048	2.2%	(2.2%)
25000	mean = 9998.44	max = 32424
	64	100%	(0.1%)
	128	99.9%	(1.4%)
	256	98.5%	(12.7%)
	512	85.8%	(42.8%)
	1024	43%	(41.1%)
	2048	1.9%	(1.9%)
26000	mean = 10230.5	max = 34676
	64	100%	(0.1%)
	128	99.9%	(1.5%)
	256	98.4%	(12%)
	512	86.4%	(41.5%)
	1024	44.9%	(42.6%)
	2048	2.3%	(2.3%)
27000	mean = 10196.1	max = 32600
	64	100%	(0.1%)
	128	99.9%	(2%)
	256	97.9%	(11.6%)
	512	86.3%	(41%)
	1024	45.3%	(43.2%)
	2048	2.1%	(2.1%)
28000	mean = 10352.9	max = 32276
	64	100%	(0.1%)
	128	99.9%	(1.6%)
	256	98.3%	(11.6%)
	512	86.7%	(42.7%)
	1024	44%	(41.3%)
	2048	2.7%	(2.7%)
29000	mean = 10704.9	max = 34296
	128	100%	(1.4%)
	256	98.6%	(11.1%)
	512	87.5%	(39.4%)
	1024	48.1%	(44%)
	2048	4.1%	(4.1%)
30000	mean = 10684.7	max = 30824
	128	100%	(1.7%)
	256	98.3%	(12.8%)
	512	85.5%	(37%)
	1024	48.5%	(45.1%)
	2048	3.4%	(3.4%)
31000	mean = 10668.5	max = 30316
	64	100%	(0.3%)
	128	99.7%	(1.7%)
	256	98%	(11.7%)
	512	86.3%	(39.6%)
	1024	46.7%	(42.3%)
	2048	4.4%	(4.4%)
32000	mean = 10856.5	max = 34624
	64	100%	(0.3%)
	128	99.7%	(1.7%)
	256	98%	(11.8%)
	512	86.2%	(36%)
	1024	50.2%	(45.9%)
	2048	4.3%	(4.3%)
33000	mean = 11041.2	max = 39472
	64	100%	(0.1%)
	128	99.9%	(1.5%)
	256	98.4%	(11.5%)
	512	86.9%	(37.7%)
	1024	49.2%	(44.5%)
	2048	4.7%	(4.7%)
34000	mean = 11114.8	max = 35232
	64	100%	(0.2%)
	128	99.8%	(1%)
	256	98.8%	(11.7%)
	512	87.1%	(36.5%)
	1024	50.6%	(45.9%)
	2048	4.7%	(4.7%)
35000	mean = 11570.9	max = 36124
	64	100%	(0.1%)
	128	99.9%	(1.7%)
	256	98.2%	(10.8%)
	512	87.4%	(33.6%)
	1024	53.8%	(47.6%)
	2048	6.2%	(6.2%)
36000	mean = 11315.6	max = 35160
	128	100%	(1.2%)
	256	98.8%	(10.5%)
	512	88.3%	(37.5%)
	1024	50.8%	(45.1%)
	2048	5.7%	(5.7%)
37000	mean = 11478.3	max = 46532
	128	100%	(0.9%)
	256	99.1%	(11%)
	512	88.1%	(35.8%)
	1024	52.3%	(46.7%)
	2048	5.6%	(5.5%)
	4096	0.1%	(0.1%)
38000	mean = 11470.8	max = 37076
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(11.1%)
	512	88%	(34.7%)
	1024	53.3%	(47.2%)
	2048	6.1%	(6.1%)
39000	mean = 11478.1	max = 34640
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(10.4%)
	512	88.5%	(34.9%)
	1024	53.6%	(49%)
	2048	4.6%	(4.6%)
40000	mean = 11786.4	max = 35648
	128	100%	(0.9%)
	256	99.1%	(10.7%)
	512	88.4%	(33.3%)
	1024	55.1%	(48.1%)
	2048	7%	(7%)
41000	mean = 12557.6	max = 37876
	32	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(9.8%)
	512	89.5%	(29.7%)
	1024	59.8%	(51.1%)
	2048	8.7%	(8.7%)
42000	mean = 11955.3	max = 36132
	64	100%	(0.1%)
	128	99.9%	(1.4%)
	256	98.5%	(11.1%)
	512	87.4%	(31.5%)
	1024	55.9%	(48.7%)
	2048	7.2%	(7.2%)
43000	mean = 12111.7	max = 33044
	64	100%	(0.2%)
	128	99.8%	(1.1%)
	256	98.7%	(9.7%)
	512	89%	(33.1%)
	1024	55.9%	(48%)
	2048	7.9%	(7.9%)
44000	mean = 11873.9	max = 36304
	64	100%	(0.2%)
	128	99.8%	(1%)
	256	98.8%	(10.3%)
	512	88.5%	(36.4%)
	1024	52.1%	(43.6%)
	2048	8.5%	(8.5%)
45000	mean = 12109.3	max = 36460
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.9%)
	256	98.8%	(8.8%)
	512	90%	(34.6%)
	1024	55.4%	(48.4%)
	2048	7%	(7%)
46000	mean = 12667.3	max = 35896
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(8.8%)
	512	90.3%	(30.3%)
	1024	60%	(50.7%)
	2048	9.3%	(9.3%)
47000	mean = 12811	max = 36424
	128	100%	(1.2%)
	256	98.8%	(9.3%)
	512	89.5%	(29.5%)
	1024	60%	(50.5%)
	2048	9.5%	(9.5%)
48000	mean = 12674.2	max = 36224
	128	100%	(1.1%)
	256	98.9%	(9.8%)
	512	89.1%	(31.8%)
	1024	57.3%	(47.4%)
	2048	9.9%	(9.9%)
49000	mean = 12723.1	max = 60460
	128	100%	(0.8%)
	256	99.2%	(8%)
	512	91.2%	(31.6%)
	1024	59.6%	(51.6%)
	2048	8%	(7.9%)
	4096	0.1%	(0.1%)
50000	mean = 12848.1	max = 35956
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(8.4%)
	512	90.6%	(29.5%)
	1024	61.1%	(51.1%)
	2048	10%	(10%)
51000	mean = 13027	max = 38428
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(8.5%)
	512	90.6%	(30.3%)
	1024	60.3%	(49.2%)
	2048	11.1%	(11.1%)
52000	mean = 13292.4	max = 41352
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(8.7%)
	512	90.2%	(27.2%)
	1024	63%	(52.3%)
	2048	10.7%	(10.7%)
53000	mean = 13243	max = 36732
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(8.8%)
	512	90.7%	(27.6%)
	1024	63.1%	(51.4%)
	2048	11.7%	(11.7%)
54000	mean = 13192.1	max = 36780
	128	100%	(1.4%)
	256	98.6%	(8.3%)
	512	90.3%	(26.3%)
	1024	64%	(53.7%)
	2048	10.3%	(10.3%)
55000	mean = 13530.7	max = 36992
	128	100%	(0.6%)
	256	99.4%	(7.1%)
	512	92.3%	(29.1%)
	1024	63.2%	(51.3%)
	2048	11.9%	(11.9%)
